,Simulation,Ganhador,Player 0,Player 1,Player 2,Player 3
0,1.0,Player 2,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, yellow)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
1,1.0,Player 0,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, green)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
2,1.0,Player 3,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, green)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
3,1.0,Player 3,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, green)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
4,1.0,Player 3,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, green)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
5,1.0,Player 3,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, green)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
6,1.0,Player 3,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, red)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
7,1.0,Player 1,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, red)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
8,1.0,Player 1,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, red)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
9,1.0,Player 3,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, green)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
